hangul	index	code	donor_jp
봤	1380	9353	鉄
봬	1379	9350	撤
뵈	1378	934F	徹
뵙	1377	934E	哲
부	1376	934B	適
북	1375	9349	的
분	1374	9348	滴
불	1373	9347	敵
붉	1372	9345	摘
붐	1371	92FA	諦
붓	1370	92F9	訂
붕	1369	92F7	締
붙	1368	92F6	程
뷰	1367	92F1	提
브	1366	92EF	抵
블	1365	92ED	弟
비	1364	92EB	庭
빈	1363	92EA	底
빌	1362	92E9	帝
빔	1361	92E8	定
빙	1360	92E3	偵
빚	1359	92E2	停
빛	1358	92E1	低
빠	1357	92E0	亭
빡	1356	92DC	爪
빤	1355	92D9	壷
빨	1354	92D7	潰
빼	1353	92D4	綴
뺏	1352	92D0	漬
뻐	1351	92CD	掴
뻔	1350	92CB	塚
뻗	1349	92CA	通
뻤	1348	92C9	痛
뼈	1347	92C7	追
뽀	1346	92C6	槌
뽑	1345	92C4	墜
뾰	1344	92C3	津
뿌	1343	92C1	鎮
뿐	1342	92BF	珍
뿔	1341	92BE	沈
뿜	1340	92BC	直
쁘	1339	92B9	鳥
쁜	1338	92B8	頂
쁠	1337	92B7	長
쁨	1336	92B5	跳
삐	1335	92B4	超
사	1334	92B2	調
삭	1333	92B0	腸
산	1332	92AD	眺
살	1331	92AC	町
삶	1330	92AA	潮
삼	1329	92A9	朝
상	1328	92A7	挑
새	1327	92A5	徴
색	1326	92A4	彫
샌	1325	92A3	張
샘	1324	92A0	帳
생	1323	929D	喋
샤	1322	929A	丁
샷	1321	9299	貯
서	1320	9298	著
석	1319	9293	駐
섞	1318	928E	虫
선	1317	928D	注
섣	1316	928C	柱
설	1315	928A	抽
섬	1314	9289	忠
섭	1313	9288	宙
섯	1312	9287	仲
섰	1311	9286	中
성	1310	9285	着
세	1309	9283	茶
센	1308	9281	秩
셈	1307	9280	逐
셋	1306	927E	蓄
셔	1305	927A	築
션	1304	9278	遅
셨	1303	9276	致
소	1302	9275	置
속	1301	9271	智
손	1300	9270	恥
솔	1299	926F	弛
솜	1298	926E	地
솟	1297	926D	知
송	1296	926C	値
쇄	1295	926B	談
쇠	1294	926A	男
쇼	1293	9269	段
숏	1292	9266	断
수	1291	9265	弾
숙	1290	9264	壇
순	1289	9263	団
술	1288	925F	胆
숨	1287	925B	端
숫	1286	925A	短
숭	1285	9257	淡
숲	1284	9255	旦
숴	1283	9254	探
쉈	1282	9253	担
쉬	1281	9251	嘆
쉽	1280	9250	単
쉿	1279	924F	丹
슈	1278	924E	誰
스	1277	924D	樽
슨	1276	924A	谷
슬	1275	9249	棚
슭	1274	9245	脱
슴	1273	9244	奪
습	1272	9242	達
슷	1271	9240	叩
승	1270	91F8	諾
시	1269	91F7	濁
식	1268	91F5	託
신	1267	91F2	沢
싣	1266	91F0	択
실	1265	91EF	托
싫	1264	91EE	宅
심	1263	91EA	滝
십	1262	91E9	鷹
싶	1261	91E8	題
싸	1260	91E6	第
싹	1259	91E5	大
쌀	1258	91E4	台
쌍	1257	91E3	代
쌓	1256	91E0	隊
써	1255	91DF	逮
썩	1254	91DE	退
썬	1253	91DD	貸
썰	1252	91DC	袋
썹	1251	91D7	泰
썼	1250	91D6	替
썽	1249	91D4	態
쎄	1248	91D2	待
쏘	1247	91D1	帯
쏜	1246	91CF	耐
쏟	1245	91CE	対
쑤	1244	91CC	体
쑥	1243	91CA	駄
쓰	1242	91C5	打
쓱	1241	91C3	妥
