path	lba	size	oob
/PR_11.ADP	158231	922358	0
/SHIREN.P	158682	157700	0
/TOUGI_A.P	158760	157700	0
/TOUGI_B.P	158838	157700	0
/TOUGI_C.P	158916	157700	0
/BOUGU_A.P	158994	157700	0
/BOUGU_B.P	159072	157700	0
/BOUGU_C.P	159150	157700	0
/BUKIYA_A.P	159228	157700	0
/BUKIYA_B.P	159306	157700	0
/BUKIYA_C.P	159384	157700	0
/DOUGU_A.P	159462	157700	0
/DOUGU_B.P	159540	157700	0
/DOUGU_C.P	159618	157700	0
/SAKABA_A.P	159696	157700	0
/SAKABA_B.P	159774	157700	0
/SAKABA_C.P	159852	157700	0
/MINKA_A.P	159930	157700	0
/MINKA_B.P	160008	157700	0
/MINKA_C.P	160086	157700	0
/ETC_FG_A.DAT	160164	44260	0
/NIKKI.DG2	160186	28742	0
/COMPASS.DAT	160201	4220	0
/NOWLOAD.P	160204	157700	0
/RADAR.DG2	160282	6854	0
/SE627C.ADP	160286	58894	0
/SE654.ADP	160315	170682	0
/SE653.ADP	160399	79064	0
/SE652.ADP	160438	55076	0
/SE651.ADP	160465	227556	0
/SE650.ADP	160577	139482	0
/BGM39.BGM	160646	422380	0
/BGM36.BGM	160853	378976	0
/BGM35.BGM	161039	397660	0
/BGM34.BGM	161234	434788	0
/BGM33.BGM	161447	420392	0
/BGM32.BGM	161653	438996	0
/BGM31.BGM	161868	434004	0
/BGM30.BGM	162080	441296	0
/BGM29.BGM	162296	439368	0
/BGM28.BGM	162511	422444	0
/BGM27.BGM	162718	425284	0
/BGM26.BGM	162926	432880	0
/BGM25.BGM	163138	442308	0
/BGM24.BGM	163354	441664	0
/BGM23.BGM	163570	433864	0
/SE649.ADP	163782	64572	0
/SE648.ADP	163814	22612	0
/SE647.ADP	163826	73266	0
/SE646.ADP	163862	176044	0
/SE645.ADP	163948	134762	0
/SE644.ADP	164014	122964	0
/SE643.ADP	164075	651594	0
/SE642.ADP	164394	69704	0
/SE640.ADP	164429	226294	0
/SE641.ADP	164540	32984	0
/SE639.ADP	164557	31366	0
/SE638.ADP	164573	50200	0
/SE637.ADP	164598	3544	0
/SE636.ADP	164600	5426	0
/SE635.ADP	164603	6128	0
/SE634.ADP	164606	16578	0
/SE633.ADP	164615	15532	0
/SE632S.ADP	164623	74988	0
/SE632L.ADP	164660	144252	0
/SE630.ADP	164731	4874	0
/SE629LP.ADP	164734	31644	0
/SE629.ADP	164750	385704	0
/SE628.ADP	164939	170478	0
/SE627B.ADP	165023	45858	0
/SE627A.ADP	165046	25388	0
/SE626LP.ADP	165059	18238	0
/SE626.ADP	165068	124042	0
/SE625.ADP	165129	73020	0
/SE624.ADP	165165	42648	0
/SE623.ADP	165186	36094	0
/SE622.ADP	165204	5710	0
/SE607.ADP	165207	37928	0
/SE631.ADP	165226	76346	0
/SE543.ADP	165264	47150	0
/SE554.ADP	165288	42812	0
/SE544.ADP	165309	46018	0
/CRY03.ADP	165332	21824	0
/FX96.SE	165343	18560	0
/DUCK.GRF	165353	157736	0
/LOGOMAT.GRF	165431	65576	0
/TESTMAP.BIN	165464	42	0
/SDDRVS.TSK	165465	20092	0
/BOOTSND.MAP	165475	115	0
/RIG2MNU2.OVL	165476	4616	0
/RIG2EVE.OVL	165479	59016	0
/RIG2.OVL	165508	118228	0
/RIG2MENU.OVL	165566	69316	0
/RIG2STF.OVL	165600	4790	0
/RIG2MGB.OVL	165603	9352	0
/RIG2IXX.OVL	165608	16126	0
/RIG2ETC.OVL	165616	7032	0
/RIG2OPN.OVL	165620	7504	0
/R2MDATA.OVL	165624	6497	0
/RIG2OP.DAT	165628	580884	0
/RIG2INIT.DAT	165912	360892	0
/SAVEGRF.DAT	166089	298632	0
/LOADGRF.DAT	166235	298632	0
/COMMON.DAT	166381	13508	0
/STATHELP.MAT	166388	3688	0
/KEYHELP.MAT	166390	3288	0
/ETC_FACE.DAT	166392	54460	0
/ME086002.ADP	166419	28414	0
/ME086003.ADP	166433	102088	0
/ME080000.ADP	166483	94072	0
/ME086001.ADP	166529	27770	0
/ME082000.ADP	166543	76194	0
/ME086000.ADP	166581	24936	0
/PE008001.ADP	166594	59898	0
/PE008000.ADP	166624	64490	0
/PE007002.ADP	166656	46146	0
/PE007001.ADP	166679	59898	0
/PH001002.ADP	166709	18434	0
/PH013002.ADP	166719	28420	0
/PH013001.ADP	166733	22846	0
/PH013000.ADP	166745	25308	0
/PH006000.ADP	166758	20246	0
/PH008002.ADP	166768	18528	0
/PE013002.ADP	166778	17134	0
/PE013001.ADP	166787	56364	0
/PE013000.ADP	166815	29302	0
/PE006002.ADP	166830	46146	0
/PE006001.ADP	166853	59898	0
/PE008002.ADP	166883	46146	0
/PH008001.ADP	166906	19410	0
/PH008000.ADP	166916	20246	0
/PH007002.ADP	166926	18528	0
/PH007001.ADP	166936	19410	0
/PH007000.ADP	166946	20246	0
/PH006002.ADP	166956	18528	0
/PH006001.ADP	166966	19410	0
/PH001001.ADP	166976	11982	0
/PH001000.ADP	166982	12352	0
/PE007000.ADP	166989	64490	0
/PE006000.ADP	167021	64490	0
/ME004001.ADP	167053	25400	0
/ME004000.ADP	167066	34136	0
/ME003002.ADP	167083	27258	0
/ME003001.ADP	167097	16716	0
/ME003000.ADP	167106	8450	0
/ME002002.ADP	167111	19270	0
/ME002001.ADP	167121	19968	0
/ME002000.ADP	167131	20106	0
/ME001002.ADP	167141	12304	0
/ME004002.ADP	167148	29720	0
/PE011002.ADP	167163	58360	0
/PE011001.ADP	167192	59290	0
/PE002002.ADP	167221	53890	0
/PE002001.ADP	167248	54832	0
/PE002000.ADP	167275	21824	0
/PE004002.ADP	167286	27722	0
/PE004001.ADP	167300	20478	0
/PE004000.ADP	167310	10400	0
/PE003000.ADP	167316	52924	0
/PE003002.ADP	167342	44920	0
/PE003001.ADP	167364	19132	0
/PE012002.ADP	167374	73592	0
/PE012001.ADP	167410	56358	0
/PE012000.ADP	167438	77042	0
/PE005002.ADP	167476	29010	0
/PE005001.ADP	167491	53530	0
/PE005000.ADP	167518	12304	0
/PE010002.ADP	167525	92958	0
/PE010001.ADP	167571	27026	0
/PH011002.ADP	167585	19456	0
/PH003002.ADP	167595	16438	0
/PH003001.ADP	167604	9890	0
/PH003000.ADP	167609	7614	0
/PH004000.ADP	167613	6546	0
/PH012002.ADP	167617	61240	0
/PH005002.ADP	167647	25214	0
/PH005000.ADP	167660	20850	0
/PH010002.ADP	167671	25400	0
/PH010001.ADP	167684	24228	0
/PH011001.ADP	167696	34642	0
/PH011000.ADP	167713	13234	0
/PH005001.ADP	167720	20618	0
/PH002002.ADP	167731	12834	0
/PH002001.ADP	167738	12656	0
/PH002000.ADP	167745	6576	0
/PH012001.ADP	167749	70064	0
/PH004002.ADP	167784	23358	0
/PH004001.ADP	167796	32878	0
/PE010000.ADP	167813	119042	0
/PE011000.ADP	167872	16810	0
/ME001000.ADP	167881	5666	0
/ME001001.ADP	167884	11376	0
/PH012000.ADP	167890	71132	0
/PH010000.ADP	167925	18482	0
/PE001002.ADP	167935	43884	0
/PE001001.ADP	167957	12406	0
/PE001000.ADP	167964	9962	0
/PE000002.ADP	167969	43884	0
/PE000001.ADP	167991	12406	0
/PE000000.ADP	167998	9962	0
/ME000002.ADP	168003	10818	0
/ME000001.ADP	168009	10680	0
/ME000000.ADP	168015	10168	0
/PH000002.ADP	168020	18434	0
/PH000001.ADP	168030	11982	0
/PH000000.ADP	168036	12352	0
/1_RIG2.BIN	168043	625008	0
/0_OP.BIN	168349	198240	0
/0_TPLAY.BIN	168446	237424	0
/VOICE1/545.ADP	168562	52230	0
/VOICE1/504.ADP	168588	22660	0
/VOICE1/505.ADP	168600	35890	0
/VOICE1/501.ADP	168618	42338	0
/VOICE1/549.ADP	168639	27338	0
/VOICE1/548.ADP	168653	60682	0
/VOICE1/547.ADP	168683	81720	0
/VOICE1/546.ADP	168723	34584	0
/VOICE1/544.ADP	168740	42014	0
/VOICE1/543.ADP	168761	153516	0
/VOICE1/542.ADP	168836	24784	0
/VOICE1/541.ADP	168849	180684	0
/VOICE1/540.ADP	168938	23172	0
/VOICE1/539.ADP	168950	190622	0
/VOICE1/538.ADP	169044	21222	0
/VOICE1/537.ADP	169055	41270	0
/VOICE1/536.ADP	169076	26782	0
/VOICE1/535.ADP	169090	111302	0
/VOICE1/534.ADP	169145	10772	0
/VOICE1/533.ADP	169151	159832	0
/VOICE1/532.ADP	169230	28976	0
/VOICE1/531.ADP	169245	40852	0
/VOICE1/530.ADP	169265	66210	0
/VOICE1/529.ADP	169298	50188	0
/VOICE1/528.ADP	169323	201488	0
/VOICE1/527.ADP	169422	55760	0
/VOICE1/526.ADP	169450	29058	0
/VOICE1/525.ADP	169465	124492	0
/VOICE1/524.ADP	169526	94908	0
/VOICE1/523.ADP	169573	61936	0
/VOICE1/522.ADP	169604	233672	0
/VOICE1/521.ADP	169719	161458	0
/VOICE1/520.ADP	169798	186582	0
/VOICE1/519.ADP	169890	37540	0
/VOICE1/518.ADP	169909	103546	0
/VOICE1/517.ADP	169960	27292	0
/VOICE1/516.ADP	169974	173206	0
/VOICE1/515.ADP	170059	43082	0
/VOICE1/514.ADP	170081	125560	0
/VOICE1/513.ADP	170143	147914	0
/VOICE1/512.ADP	170216	68776	0
/VOICE1/511.ADP	170250	14394	0
/VOICE1/510.ADP	170258	170572	0
/VOICE1/509.ADP	170342	146458	0
/VOICE1/508.ADP	170414	16484	0
